index,body
122,"['بسته', 'پکیج', 'کالا', 'نامناسب', 'آنپکد', '.', 'محافظ', 'صفحه', 'شرایط', 'نگهداری', 'بد', '،', 'قوس', 'تحدب', '.', 'ذکر', 'شد#شو', 'محافظ', 'صفحه', '،', 'لمس', '،', 'زبر', 'حالت', 'سمباده', '.', 'محصولات', 'paper', 'like', 'شبیه', 'کاغذ', 'حالت', '،', 'مشخصات', 'عنوان', '.', 'نصب', 'سخت', 'صورت', 'حباب', 'محافظ', 'صفحه', 'باقی', 'ماند#مان', 'خارج', 'شد#شو', '.', 'نکته', 'مشخصات', 'کالا', '،', 'کالا', '،', 'گلس', 'خاصیت', 'ارتجاع', '،', 'جنس', 'TPU', 'اصلا', 'نکته', 'منفی', 'یی', 'ذکر', 'شد#شو', '.', 'استفاده', 'افعال', 'گذشته', 'کامنت', '،', 'نارضایتی', 'کالا', 'انداختن', '.', 'مه', 'دلیل', '،', 'ساییدگی', 'خوردگی', 'نوک', 'اپل', 'پنسل', '.', 'ضمنا', 'قیمت', 'نامتناسب', '.']"
123,"['درود', '.', 'گلس', '(', 'برچسب', ')', 'همراه', 'قاب', 'ارسال', 'کیفیت', 'خمیده', 'جور', 'حالت', 'صاف', 'خارج', 'یه', 'محافظ', 'درواقع', 'برچسب', 'بیکیفیت', 'کیف', 'مشکل', 'کیف', 'درب', 'اهنربایی', '#هست', 'بسته', 'بمونه', 'رها', 'نباشه']"
124,"['کیف', 'معمولی', 'قیمت']"
125,"['مقایسه', 'قاب', 'مختلف', 'طراح', 'مثلا', 'دوربین', 'میکروفونبرای', 'آیپد', 'ایر', '۲۰۲۰', 'جنس', 'مواد', 'رنگ', 'مقایسه', 'قیمت', 'نامناسب', '#هست', 'قیمت', 'خرید', 'محصول', 'توصیه', 'نمیکنم']"
126,"['جنس', 'خوبه', 'رنگ', 'مشک', 'فرستادن', 'خو', 'نیومد']"
127,"['کاور', 'مخصوص', 'آیپد', 'پرو', '۲۰۱۸', 'کیفیت', 'خوش', 'دست', 'هستش', 'کارو', 'کیفیت', 'کارا', 'راضی', '#هست']"
128,"['مدل', 'کیس\u200cها', 'آهنربا', 'آهنربا', 'ضعیف', 'طوری', 'ipad', 'داخل', 'افتاد#افت', '.', 'مرجوع']"
129,"['ازمغازه', '#هست', 'زملنت', 'میده']"
130,"['باسلام', 'دستتون', 'درد', 'نکنه', 'محصولات', 'دیگر', 'بزارید']"
131,"['خوبه', 'واسه', 'افلاین', 'پل', 'میدن']"
