index,body
231,"['عالیه', 'حتما', 'پیشنهاد', 'میکنم', '.', 'جنس', 'العاده', 'داره', '.', 'سرعت', 'زیاده', '.']"
232,"['۳۲', 'گیگ', '۳۱', '٫۹جاداشت']"
233,"['کاش', 'مینوشتید', 'گوش', 'مناسبه']"
234,"['راضی', '#هست', 'از']"
235,"['خوش', 'تیپه', 'سرعت', 'داره', 'عالیه', 'کیف', 'براش']"
236,"['گارانتی', 'مادام', 'داره', 'سرعت', 'گوش', 'کرد#کن', '.', 'گوش', 'note', '۸', 'pro']"
237,"['یه', 'مموری', 'یه', 'برد#بر', '.', '.', 'دید', 'چقدر', 'سال', 'دوام', 'میاره', '.', 'گارنتی', 'متین', '.', '.', 'ساخت', 'تایوان', '.', '.', 'دوتا', 'از', 'خرید#خر']"
238,"['مشکل', 'داشت#دار', 'الان', 'وقت', 'کار', 'کردنه']"
239,"['کیفیت', 'دادشه']"
240,"['قیمت', 'وکیفیت']"
241,"['گارانتی', 'مادام', 'العمر', '،', 'سرعت', '،', 'جنس', '،', 'حتما', 'پیشنهاد', 'میشه']"
242,['قیمت']
243,"['کارت', 'حافظه', '.', 'خرید', 'توصیه', 'میکنم', '.']"
244,"['کداک', 'مارک', 'کارت', 'حافظه', 'عالیه']"
245,"['راضی', 'برام', '.']"
246,"['چندماه', 'خرید#خر', 'راضی']"
247,"['حرف', 'نداره', 'از', 'راضی', 'بود#باش']"
248,"['درکل', 'قیمت', 'سرعت', 'داره', 'کلاس', 'بالاس', 'کیفیت', 'خوبه', 'عمر', 'کارکرد', 'خوبه', 'توصیه', 'میکنم', 'خرید']"
249,"['عالیه', 'خوش', 'رنگ', 'وباکیفیت']"
250,"['کارت', 'حافظه', 'خوبیه', 'قیمت', 'مناسبه']"
251,"['استفاده', 'هستش', '.']"
252,"['درود', 'کیفیت', 'سرعت', 'انتقال', 'اطلاعات']"
253,"['مموری', 'مادر', 'سفارش', 'داد#ده', 'خرید#خر', 'راضی', 'بود#باش', 'ماه', 'میشه', 'استفاده', 'میکنه', 'مشکل', 'بود#باش', '.']"
254,['قیمت']
255,"['قیمت', 'فوقالعاده']"
256,"['مشکل', 'کهر', '#هست', '.', 'گارانتی', 'مادام', 'العمر', 'داره', 'قبلا', 'تعویض', 'انجام', 'داد#ده', 'الان', 'نمیدونم', 'چطوره']"
257,"['خوبه', '.', 'یکسال', 'استفاده', 'مشکل', 'نیومده']"
258,"['برندی', 'معروف', 'ومعتبر']"
259,"['هفت', 'روز', 'دستم', 'از', 'راضی', 'ام']"
260,"['بدک', 'گیگ', 'کمتر', 'حافظ']"
261,"['ظاهر', 'بسته', 'کالا', 'مشخصه', 'جنس', 'داره', 'چندتا', 'خرید', 'امیدوار', 'باشه']"
262,"['سرعت', 'انتقال', 'راحت', 'استفاده', '،', 'برگه', 'گارانتی']"
263,['قبول']
264,"['راضی', 'خرید']"
265,"['کداک', 'برد#بر', 'معتبر', 'اعتماد', '.', 'کار', '.']"
266,"['مارک', 'کداک', 'دوبار', 'رم', 'خریدم,', 'دوبار', 'دیجی', 'کالا', 'خریدم,', 'اول', '۶سال', 'هنوز', 'کار', 'میکنه', 'خوبه,', 'دوم', 'الان', 'چندماه', 'خرید#خر', 'خوووبه,', 'نظر', 'رم', 'اطمینان', 'خوبیه']"
267,"['برد#بر', 'شناخته', 'شد#شو', 'برا', 'دوربین', 'شبکه', 'گرفت#گیر']"
268,"['قیمت', 'مناسبه']"
269,"['توجه', 'کیفیت', 'بالا', 'فلش', 'کداک', 'داشت#دار', 'تصمیم', 'گرفت#گیر', 'برد#بر', 'مموری', 'خرید#خر', '.', 'کیفیت', 'ساخت', 'تعریف', 'نداره', 'سرعت', 'خوبه', '.']"
270,['قیمت']
271,"['چندین', 'رم', 'خریدار', 'سال', 'نرسیده', 'خراب', '،', 'برد#بر', 'عالیه', 'خراب', 'هستش']"
272,"['برد#بر', 'درجه', '،', 'حتما', 'خرید#خر']"
273,"['کیفیت', 'ارزش', 'خرید', 'داره']"
274,"['کارت', 'حافظه', 'سرعت', 'برندی', 'معتبر', 'شناخته']"
275,"['خوبه', 'سرعت', '.', 'شیکه']"
276,"['برد#بر', 'معتبر', '،', 'سرعت', 'انتقال', 'دیتا', '،', 'انتخاب', 'راضی', '.']"
277,['کیفیت']
278,"['گوش', 'پدر', 'خرید#خر', 'کلام', 'کار', 'انداخت#انداز', 'الان', 'مدت', '#هست', 'داره', 'استفاده', 'میکنه', 'قیمت', 'برد#بر', '،', 'هستش', '.']"
279,"['شرکت', 'تولید', 'IS', 'نوشتن', 'مقدار', 'حافظه', 'استفاده', 'میکنند', 'کامپیوتر', 'مبایل', 'binary', 'خواندن', 'مقدار', 'حافظه', 'استفاده', 'میکنند', 'بخاطر', 'مقدار', 'نشون', 'میده', 'Memory', 'cards', 'manufactures', 'choose', 'to', 'use', 'the', 'SI', 'system', 'to', 'denote', 'cards', 'sizes', '.', 'Our', 'computers', 'and', 'card', 'readers', 'use', 'the', 'binary', 'system', 'for', 'size', 'calculation', 'and', 'here', 'is', 'where', 'the', 'missing', 'Bytes', 'are', '.']"
280,"['کیفیت', 'خوبه', 'کداک']"
281,"['سرعت', 'داره', 'قیمت', 'مناسبه', '،', 'حتما', 'پیشنهاد', 'میکنم']"
282,"['توجه', 'تجربه', 'استفاده', 'قبل', 'فلش', 'مارک', 'خرید', 'الان', 'راضیم']"
283,"['مارک', 'میشناسن', 'نکته', 'خوب', 'گارانتی', 'متین', '#هست']"
284,"['عالیه', 'تعریف', 'نداره']"
285,"['عالیه', 'کیفیت', 'سرعت', 'یکمه', 'قیمت', 'رفته', 'باخت#باز', 'ارزش', 'خریدو', 'داره']"
286,['باکیفیت']
287,"['کارت', 'حافظه', 'هستش', 'توصیه']"
288,"['مارک', 'کداک', 'معلومه', 'خوبه', 'تعریف', 'نداره', '،', 'پک', 'ارسال', 'ساخت', 'تایوان', 'هستش']"
289,"['توجه', 'کالا', 'مشابه', 'بازار', 'کیفیت', 'مطلوب', 'ظاهر', 'بهتر', 'برخوردار', 'کیفیت', 'قیمت', 'مناسب']"
290,"['سریع', 'باکیفیت']"
291,"['کیفیت', 'مناسب', 'داره', 'توجه', 'ساخت', 'تایوان', '#هست', 'ارزش', 'خرید', 'داره', '.']"
292,[]
293,"['باکیفیت', 'گارانتی', 'مادام']"
294,"['بلحاظ', 'سرعت', 'کیفیت', 'پیشنهاد', 'میکنم']"
295,"['کارت', 'حافظه', 'قبولی', 'جزو', 'کالا', 'پیشنهاد']"
296,"['سرعت', 'داره']"
297,"['درجه', 'اصل', 'زود', 'خرید#خر', 'تموم', 'شد#شو']"
298,"['میتونم', 'بگم', '…', '۴٫۵', 'گیگ', '۵۰', 'ثانیه', 'انتقال', '…']"
299,"['درود', 'همگی', 'برد#بر', 'کداک', 'قدیمی\u200cها', 'هستش', 'خرید#خر', 'راضی', '#هست', 'پیشنهاد']"
300,"['ساخت', 'تایوان']"
301,"['سرعت', 'کیفیت', 'مطلوب']"
302,"['بررسی', 'انتخاب', 'راضی', 'ام']"
303,"['محصولات', 'کداک', 'حرف', 'نداره', 'ممنون', 'دیجی', 'کالا']"
304,"['ماهه', 'خرید#خر', 'استفاده', 'میکنم']"
305,"['الان', '۳ماه', 'استفاده', 'راضی', '#هست']"
306,"['کیفیت', 'خوبه']"
307,"['سرعت', 'کیفیت', 'گارانتی', 'معتبر', 'انتظار', 'رم', 'کداک', 'برات', 'ارمغان', 'میاره']"
308,"['قیمت', 'فک', 'بالاس']"
